title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
"""La Danse Savoyarde""";Manufactured by Lecler, Père et Fils ;Lecler, Père et Fils;French, Pont de la Maye;<p>Manufactured by Lecler, Père et Fils</p><p>Date: ca. 1790<br/>Accession Number: 13.166.1</p>;"/art/collection/search/219574?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=175";https://images.metmuseum.org/CRDImages/es/mobile-large/18871.jpg;es/web-additional/18871.jpg;es/web-large/18871.jpg;ca. 1790;Cotton;13.166.1;Not on view
Knife Handle (Kozuka); ;;Japanese;<p>Date: cda. 1615–1868<br/>Accession Number: 43.120.49</p>;"/art/collection/search/28032?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=176";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_49-001.jpg;aa/web-additional/LC-43_120_49-001.jpg;aa/web-large/LC-43_120_49-001.jpg;cda. 1615–1868;Copper-gold alloy (shakud?), gold;43.120.49;Not on view
Knife Handle (Kozuka); ;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.174</p>;"/art/collection/search/28120?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=177";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.174_002AA2016.jpg;aa/web-additional/43.120.174_002AA2016.jpg;aa/web-large/43.120.174_002AA2016.jpg;ca. 1615–1868;Gold, copper-gold alloy (shakud?);43.120.174;Not on view
Knife Handle (Kozuka); ;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 43.120.173</p>;"/art/collection/search/28119?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=178";https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.173_001jan2014.jpg;aa/web-additional/43.120.173_001jan2014.jpg;aa/web-large/43.120.173_001jan2014.jpg;ca. 1615–1868;Copper-gold alloy (shakud?), gold, silver;43.120.173;Not on view
Sword Guard (Tsuba); ;;Japanese;<p>Date: 18th century<br/>Accession Number: 36.120.72</p>;"/art/collection/search/30073?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=179";https://images.metmuseum.org/CRDImages/aa/mobile-large/36.120.72_001mar2014.jpg;aa/web-additional/36.120.72_001mar2014.jpg;aa/web-large/36.120.72_001mar2014.jpg;18th century;Iron, gold, silver, copper;36.120.72;Not on view
Broadside with 48 scenes telling the story of the chicken (social advancement and decline);Juan Llorens (Spanish, active Barcelona, ca. 1855–70);Juan Llorens;;<p>Juan Llorens (Spanish, active Barcelona, ca. 1855–70) </p><p>Date: ca. 1860–70<br/>Accession Number: 1978.643.26(4)</p>;"/art/collection/search/359070?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=180";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP875715.jpg;dp/web-additional/DP875715.jpg;dp/web-large/DP875715.jpg;ca. 1860–70;Wood engraving and letterpress;1978.643.26(4);Not on view
Coat of Arms with a Lion and a Cock;Albrecht Dürer (German, Nuremberg 1471–1528 Nuremberg);Albrecht Dürer;;<p>Albrecht Dürer (German, Nuremberg 1471–1528 Nuremberg) </p><p>Date: ca. 1502<br/>Accession Number: 33.79.11</p>;"/art/collection/search/391113?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=181";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP815410.jpg;dp/web-additional/DP815410.jpg;dp/web-large/DP815410.jpg;ca. 1502;Engraving;33.79.11;Not on view
Characters, from Jack and the Giant Killer, Plate 6 for a Toy Theater;Benjamin Pollock (British, 1857–1937);Benjamin Pollock;;<p>Benjamin Pollock (British, 1857–1937) </p><p>Date: 1870–90<br/>Accession Number: 52.541.1(6)</p>;"/art/collection/search/682990?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=182";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP847979.jpg;dp/web-additional/DP847979.jpg;dp/web-large/DP847979.jpg;1870–90;Lithograph;52.541.1(6);Not on view
Basin;Accession Number: 14.40.199 ;;China;<p>Accession Number: 14.40.199</p>;"/art/collection/search/46110?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=183";https://images.metmuseum.org/CRDImages/as/mobile-large/20735.jpg;as/web-additional/20735.jpg;as/web-large/20735.jpg;;Porcelain painted in overglaze famille rose enamels;14.40.199;Not on view
Place Pasdeloup No. 1;Stuart Davis (American, Philadelphia, Pennsylvania 1892–1964 New York);Stuart Davis;;<p>Stuart Davis (American, Philadelphia, Pennsylvania 1892–1964 New York) </p><p>Date: 1929<br/>Accession Number: 55.620.1</p>;"/art/collection/search/373365?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=184";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP223682.jpg;dp/web-additional/DP223682.jpg;dp/web-large/DP223682.jpg;1929;Lithograph;55.620.1;Not on view
Panel; ;;Japan;<p>Date: late 18th–early 19th century<br/>Accession Number: 29.100.540</p>;"/art/collection/search/68489?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=185";https://images.metmuseum.org/CRDImages/as/mobile-large/DP277703.jpg;as/web-additional/DP277703.jpg;as/web-large/DP277703.jpg;late 18th–early 19th century;Silk;29.100.540;Not on view
Gentleman Taking Leave of His Lady on a Veranda;Suzuki Harunobu (Japanese, 1725–1770);Suzuki Harunobu;Japan;<p>Suzuki Harunobu (Japanese, 1725–1770) </p><p>Accession Number: JP1629</p>;"/art/collection/search/42562?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=186";https://images.metmuseum.org/CRDImages/as/mobile-large/DP118778.jpg;as/web-additional/DP118778.jpg;as/web-large/DP118778.jpg;;"Woodblock print; ink and color on paper";JP1629;Not on view
Case (Inr?) with Design of Foreigners, One holding a Cock; ;;Japan;<p>Date: 17th–18th century<br/>Accession Number: 91.1.686</p>;"/art/collection/search/58465?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=187";https://images.metmuseum.org/CRDImages/as/mobile-large/91_1_686_O3.JPG;as/web-additional/91_1_686_O3.JPG;as/web-large/91_1_686_O3.JPG;17th–18th century;"Lacquer, roiro and nashiji, gold, silver and black hiramakie, takamakie; Interior: nashiji and fundame";91.1.686;Not on view
Cock;Attributed to Katsushika Hokusai (Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo));Katsushika Hokusai;Japan;<p>Attributed to Katsushika Hokusai (Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)) </p><p>Accession Number: 29.100.511</p>;"/art/collection/search/54953?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=188";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_511_76206.jpg;as/web-additional/29_100_511_76206.jpg;as/web-large/29_100_511_76206.jpg;;"Painting; color on paper";29.100.511;Not on view
